Feature,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change,Lasso Coefficient,Absolute Lasso Coefficient,Selected,Lasso Magnitude Change from Linear
Kilometer,-0.0285110446085488,-0.0290755956878259,0.0285110446085488,0.0290755956878259,-0.0005645510792771,-0.028900376698868913,0.028900376698868913,True,-0.0003893320903201117
Owner_Second,-0.0480800465883402,-0.0487072466894512,0.0480800465883402,0.0487072466894512,-0.000627200101111,-0.04753275365468573,0.04753275365468573,True,0.0005472929336544641
Model_Kwid 1.0 RXT [2016-2019],-0.0849589961716675,-0.0856447035467213,0.0849589961716675,0.0856447035467213,-0.0006857073750538,-0.04432832168403965,0.04432832168403965,True,0.040630674487627846
Model_Wagon R LXi,0.1205752377572995,0.1217705046294199,0.1205752377572995,0.1217705046294199,-0.0011952668721204,0.09493086164109386,0.09493086164109386,True,0.02564437611620564
Model_Baleno Zeta 1.2,0.0479488462988883,0.0497941856482502,0.0479488462988883,0.0497941856482502,-0.0018453393493619,0.015346041339803655,0.015346041339803655,True,0.032602804959084644
Model_Swift DZire VXI,0.102350154715747,0.1042651713764536,0.102350154715747,0.1042651713764536,-0.0019150166607065,0.09388756735784738,0.09388756735784738,True,0.00846258735789962
Width,0.0202131353602388,0.0226237715047897,0.0202131353602388,0.0226237715047897,-0.0024106361445509,0.021187165238168427,0.021187165238168427,True,-0.0009740298779296261
Power_RPM,0.0017991314809839,0.0049539375637818,0.0017991314809839,0.0049539375637818,-0.0031548060827979,0.0005864559762018179,0.0005864559762018179,True,0.0012126755047820823
Location_infrequent_sklearn,0.0239065732896915,-0.0288587515184004,0.0239065732896915,0.0288587515184004,-0.0049521782287089,-0.035557234728342664,0.035557234728342664,True,-0.011650661438651164
Torque_RPM_Clean,-0.0488507580840578,-0.0539466129837053,0.0488507580840578,0.0539466129837053,-0.0050958548996475,-0.04903200963357242,0.04903200963357242,True,-0.0001812515495146147
Model_5-Series 520d Luxury Line [2017-2019],0.0838974075697748,0.0890332649690699,0.0838974075697748,0.0890332649690699,-0.0051358573992951,0.07506525849705574,0.07506525849705574,True,0.008832149072719064
Owner_Third,-0.0712174759372603,-0.0766491704070794,0.0712174759372603,0.0766491704070794,-0.0054316944698191,-0.06748618099476152,0.06748618099476152,True,0.0037312949424987835
Model_Celerio VXi AMT,-0.0054967216675702,-0.0120597700259992,0.0054967216675702,0.0120597700259992,-0.006563048358429,0.0,0.0,False,0.0054967216675702
Model_Fortuner 3.0 4x2 AT,-0.0403688121941948,-0.0484528267383249,0.0403688121941948,0.0484528267383249,-0.0080840145441301,-0.004009255071643834,0.004009255071643834,True,0.03635955712255097
Fuel Tank Capacity,0.01089046418905,0.0197911396525185,0.01089046418905,0.0197911396525185,-0.0089006754634685,0.017232688184281576,0.017232688184281576,True,-0.006342223995231575
Model_i10 Magna 1.2 Kappa2,0.088487345358285,0.0978790498282629,0.088487345358285,0.0978790498282629,-0.0093917044699779,0.084048334991306,0.084048334991306,True,0.004439010366978996
Model_City V,0.0003834827110553,0.0112940700750684,0.0003834827110553,0.0112940700750684,-0.0109105873640131,0.0,0.0,False,0.0003834827110553
Fuel Type_Petrol,-0.0684653668408702,-0.0800368822545096,0.0684653668408702,0.0800368822545096,-0.0115715154136394,-0.07166581861946317,0.07166581861946317,True,-0.003200451778592961
Drivetrain_FWD,0.0064201071578496,-0.0183829928364851,0.0064201071578496,0.0183829928364851,-0.0119628856786355,-0.002438057319749772,0.002438057319749772,True,0.003982049838099829
Transmission_Manual,-0.1675974580201162,-0.1825213599359094,0.1675974580201162,0.1825213599359094,-0.0149239019157932,-0.1754138204559299,0.1754138204559299,True,-0.007816362435813712
Drivetrain_RWD,-0.0132569108125313,-0.0319124390453927,0.0132569108125313,0.0319124390453927,-0.0186555282328614,-0.019018158610956924,0.019018158610956924,True,-0.005761247798425625
Make_Porsche,0.4055134260767021,0.4246279269748587,0.4055134260767021,0.4246279269748587,-0.0191145008981566,0.41729292648217314,0.41729292648217314,True,-0.011779500405471044
Owner_UnRegistered Car,0.0707565049082994,0.0907605494385312,0.0707565049082994,0.0907605494385312,-0.0200040445302317,0.06582747264471579,0.06582747264471579,True,0.004929032263583613
Make_Land Rover,0.4229315454115313,0.4516869339506543,0.4229315454115313,0.4516869339506543,-0.028755388539123,0.4410866618530116,0.4410866618530116,True,-0.018155116441480323
Make_Jaguar,0.2085424480709353,0.2378466018149288,0.2085424480709353,0.2378466018149288,-0.0293041537439935,0.2228751287232932,0.2228751287232932,True,-0.014332680652357904
Drivetrain_Missing,-0.0420019347584787,-0.0715329207647638,0.0420019347584787,0.0715329207647638,-0.0295309860062851,-0.04804160415766917,0.04804160415766917,True,-0.00603966939919047
Make_Volvo,-0.0079717862869258,0.0399660524449415,0.0079717862869258,0.0399660524449415,-0.0319942661580157,0.0,0.0,False,0.0079717862869258
Location_Zirakpur,0.0110661832962232,-0.0440900514684253,0.0110661832962232,0.0440900514684253,-0.0330238681722021,-0.03627624582140905,0.03627624582140905,True,-0.02521006252518585
Make_BMW,0.0178719653352314,0.057734484083646,0.0178719653352314,0.057734484083646,-0.0398625187484146,0.039227845725421866,0.039227845725421866,True,-0.021355880390190467
