Feature,Linear Coefficient SD,Ridge Coefficient SD,Lasso Coefficient SD,Lasso Folds Selected,Lasso Selection Frequency (%)
Color_White,0.07092641765287278,0.018879653273712053,0.01145833355423514,5,100.0
Color_Yellow,0.2053410719120111,0.13871872918060862,0.12111890885590823,5,100.0
Color_infrequent_sklearn,0.09878016925424356,0.058676066004986996,0.06237825823577886,4,80.0
Owner_Second,0.009890053776380033,0.00898889388592592,0.00880386283788167,5,100.0
Owner_Third,0.02882061210177415,0.027601932213006712,0.0280342669399949,5,100.0
Owner_UnRegistered Car,0.05233446672102369,0.04997207223211792,0.04983778765933045,5,100.0
Owner_infrequent_sklearn,0.0727445776037764,0.06661901655369779,0.07646842771006221,5,100.0
Seller Type_Corporate,0.07090594577761097,0.05600983194331331,0.037669524420561346,4,80.0
Seller Type_Individual,0.05386105561040461,0.03709150530019846,0.013479873004763034,3,60.0
Drivetrain_FWD,0.013050082315855471,0.01386022616969377,0.010374106624365073,5,100.0
Drivetrain_Missing,0.04822835439039205,0.04730639226641963,0.0446878186590055,4,80.0
Drivetrain_RWD,0.009049844922791912,0.009184815915331044,0.007553448598791421,5,100.0
