Feature,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change,Lasso Coefficient,Absolute Lasso Coefficient,Lasso Selected,Lasso Magnitude Change from Linear,Elastic Net Coefficient,Absolute Elastic Net Coefficient,Elastic Net Selected,Elastic Net Magnitude Change from Linear
missingindicator_Fuel Tank Capacity,-0.0034679068643128,-0.000108079293538,0.0034679068643128,0.000108079293538,0.0033598275707747,-0.0,0.0,False,0.0034679068643128,0.002271691551190578,0.002271691551190578,True,0.0011962153131222218
Seating Capacity,-0.0456352860232528,-0.0424654901703499,0.0456352860232528,0.0424654901703499,0.0031697958529028,-0.0438007785495748,0.0438007785495748,True,0.0018345074736779,-0.042100934176559024,0.042100934176559024,True,0.0035343518466937757
Model_GLE 250 d,-0.0232981170189434,-0.0203450675062694,0.0232981170189434,0.0203450675062694,0.0029530495126739,-0.0,0.0,False,0.0232981170189434,-0.0,0.0,False,0.0232981170189434
Model_Creta 1.6 SX Plus AT Petrol,0.0651615835889707,0.0624112011513473,0.0651615835889707,0.0624112011513473,0.0027503824376233,0.0516063022448582,0.0516063022448582,True,0.0135552813441124,0.025977286472814137,0.025977286472814137,True,0.03918429711615656
missingindicator_Torque_RPM_Clean,0.0062836566609003,0.0036719469926362,0.0062836566609003,0.0036719469926362,0.002611709668264,6.157794371554832e-17,6.157794371554832e-17,True,0.0062836566609002,0.0,0.0,False,0.0062836566609003
missingindicator_Torque_NM,0.0062836566609003,0.0036719469926362,0.0062836566609003,0.0036719469926362,0.002611709668264,0.0013999999999996,0.0013999999999996,True,0.0048836566609006,0.0,0.0,False,0.0062836566609003
missingindicator_Power_BHP,0.0062836566609003,0.0036719469926362,0.0062836566609003,0.0036719469926362,0.002611709668264,5.551115123125784e-17,5.551115123125784e-17,True,0.0062836566609002,3.0640578239995285e-06,3.0640578239995285e-06,True,0.0062805926030763005
missingindicator_Engine_CC,0.0062836566609003,0.0036719469926362,0.0062836566609003,0.0036719469926362,0.002611709668264,0.014051212974757,0.014051212974757,True,-0.0077675563138567,0.009456050628174664,0.009456050628174664,True,-0.003172393967274364
Make_MINI,0.5092254472854469,0.506719402400813,0.5092254472854469,0.506719402400813,0.0025060448846339,0.5013319841902493,0.5013319841902493,True,0.0078934630951976,0.4945450141678461,0.4945450141678461,True,0.014680433117600866
Model_infrequent_sklearn,-0.0689101922970554,-0.0665502370805519,0.0689101922970554,0.0665502370805519,0.0023599552165034,-0.0567394468628311,0.0567394468628311,True,0.0121707454342242,-0.05781811383385772,0.05781811383385772,True,0.01109207846319768
Power_BHP,0.3298520299319198,0.3276855387949119,0.3298520299319198,0.3276855387949119,0.0021664911370078,0.3274467198094483,0.3274467198094483,True,0.0024053101224715,0.3237931404401396,0.3237931404401396,True,0.006058889491780184
Vehicle_Age,-0.3860217024164334,-0.384528350109946,0.3860217024164334,0.384528350109946,0.0014933523064873,-0.3864729114988928,0.3864729114988928,True,-0.0004512090824594,-0.38693066010530164,0.38693066010530164,True,-0.0009089576888682283
Model_Swift VXi,0.0878495312016607,0.0863802377747229,0.0878495312016607,0.0863802377747229,0.0014692934269377,0.0833431809059409,0.0833431809059409,True,0.0045063502957198,0.06271841018310724,0.06271841018310724,True,0.025131121018553457
Model_Alto VXi,0.009756040915063,0.0086696680472572,0.009756040915063,0.0086696680472572,0.0010863728678057,0.0,0.0,False,0.009756040915063,0.0,0.0,False,0.009756040915063
Model_Alto 800 Lxi,-0.0307645951371101,-0.0306633774417513,0.0307645951371101,0.0306633774417513,0.0001012176953587,-0.0074186808557255,0.0074186808557255,True,0.0233459142813845,-0.0,0.0,False,0.0307645951371101
